Date,BAA_AAA
1970-01-01,0.95000
1970-02-01,0.85000
1970-03-01,0.79000
1970-04-01,0.87000
1970-05-01,0.87000
1970-06-01,0.77000
1970-07-01,0.96000
1970-08-01,1.31000
1970-09-01,1.30000
1970-10-01,1.30000
1970-11-01,1.33000
1970-12-01,1.48000
1971-01-01,1.38000
1971-02-01,1.31000
1971-03-01,1.25000
1971-04-01,1.20000
1971-05-01,1.09000
1971-06-01,1.11000
1971-07-01,1.12000
1971-08-01,1.17000
1971-09-01,1.15000
1971-10-01,1.09000
1971-11-01,1.12000
1971-12-01,1.13000
1972-01-01,1.04000
1972-02-01,0.96000
1972-03-01,1.00000
1972-04-01,0.94000
1972-05-01,0.93000
1972-06-01,0.97000
1972-07-01,1.02000
1972-08-01,1.00000
1972-09-01,0.87000
1972-10-01,0.85000
1972-11-01,0.87000
1972-12-01,0.85000
1973-01-01,0.75000
1973-02-01,0.75000
1973-03-01,0.74000
1973-04-01,0.83000
1973-05-01,0.77000
1973-06-01,0.76000
1973-07-01,0.79000
1973-08-01,0.85000
1973-09-01,1.00000
1973-10-01,0.81000
1973-11-01,0.75000
1973-12-01,0.80000
1974-01-01,0.65000
1974-02-01,0.68000
1974-03-01,0.61000
1974-04-01,0.62000
1974-05-01,0.68000
1974-06-01,0.80000
1974-07-01,0.76000
1974-08-01,0.77000
1974-09-01,0.94000
1974-10-01,1.21000
1974-11-01,1.71000
1974-12-01,1.74000
1975-01-01,1.98000
1975-02-01,2.03000
1975-03-01,1.81000
1975-04-01,1.63000
1975-05-01,1.79000
1975-06-01,1.85000
1975-07-01,1.71000
1975-08-01,1.64000
1975-09-01,1.66000
1975-10-01,1.76000
1975-11-01,1.78000
1975-12-01,1.77000
1976-01-01,1.81000
1976-02-01,1.69000
1976-03-01,1.60000
1976-04-01,1.54000
1976-05-01,1.28000
1976-06-01,1.27000
1976-07-01,1.26000
1976-08-01,1.19000
1976-09-01,1.02000
1976-10-01,0.97000
1976-11-01,0.98000
1976-12-01,1.14000
1977-01-01,1.12000
1977-02-01,1.08000
1977-03-01,1.02000
1977-04-01,1.03000
1977-05-01,0.96000
1977-06-01,0.96000
1977-07-01,0.93000
1977-08-01,0.84000
1977-09-01,0.88000
1977-10-01,0.85000
1977-11-01,0.87000
1977-12-01,0.80000
1978-01-01,0.76000
1978-02-01,0.73000
1978-03-01,0.75000
1978-04-01,0.76000
1978-05-01,0.80000
1978-06-01,0.84000
1978-07-01,0.72000
1978-08-01,0.79000
1978-09-01,0.73000
1978-10-01,0.70000
1978-11-01,0.80000
1978-12-01,0.78000
1979-01-01,0.88000
1979-02-01,0.82000
1979-03-01,0.89000
1979-04-01,0.95000
1979-05-01,0.97000
1979-06-01,1.09000
1979-07-01,1.09000
1979-08-01,1.12000
1979-09-01,1.10000
1979-10-01,1.27000
1979-11-01,1.23000
1979-12-01,1.32000
1980-01-01,1.33000
1980-02-01,1.19000
1980-03-01,1.49000
1980-04-01,2.15000
1980-05-01,2.18000
1980-06-01,2.13000
1980-07-01,1.58000
1980-08-01,1.51000
1980-09-01,1.68000
1980-10-01,1.92000
1980-11-01,1.67000
1980-12-01,1.93000
1981-01-01,2.22000
1981-02-01,2.02000
1981-03-01,2.01000
1981-04-01,1.68000
1981-05-01,1.63000
1981-06-01,2.05000
1981-07-01,1.79000
1981-08-01,1.45000
1981-09-01,1.43000
1981-10-01,1.71000
1981-11-01,2.17000
1981-12-01,2.32000
1982-01-01,1.92000
1982-02-01,1.91000
1982-03-01,2.24000
1982-04-01,2.32000
1982-05-01,2.38000
1982-06-01,2.11000
1982-07-01,2.19000
1982-08-01,2.61000
1982-09-01,2.69000
1982-10-01,2.61000
1982-11-01,2.62000
1982-12-01,2.31000
1983-01-01,2.15000
1983-02-01,1.94000
1983-03-01,1.88000
1983-04-01,1.78000
1983-05-01,1.63000
1983-06-01,1.63000
1983-07-01,1.24000
1983-08-01,1.13000
1983-09-01,1.18000
1983-10-01,1.21000
1983-11-01,1.20000
1983-12-01,1.18000
1984-01-01,1.45000
1984-02-01,1.51000
1984-03-01,1.42000
1984-04-01,1.50000
1984-05-01,1.46000
1984-06-01,1.50000
1984-07-01,1.71000
1984-08-01,1.76000
1984-09-01,1.69000
1984-10-01,1.31000
1984-11-01,1.19000
1984-12-01,1.27000
1985-01-01,1.18000
1985-02-01,1.10000
1985-03-01,1.13000
1985-04-01,1.28000
1985-05-01,1.43000
1985-06-01,1.46000
1985-07-01,1.46000
1985-08-01,1.45000
1985-09-01,1.41000
1985-10-01,1.34000
1985-11-01,1.44000
1985-12-01,1.42000
1986-01-01,1.39000
1986-02-01,1.44000
1986-03-01,1.50000
1986-04-01,1.40000
1986-05-01,1.20000
1986-06-01,1.21000
1986-07-01,1.28000
1986-08-01,1.46000
1986-09-01,1.31000
1986-10-01,1.38000
1986-11-01,1.39000
1986-12-01,1.48000
1987-01-01,1.36000
1987-02-01,1.27000
1987-03-01,1.25000
1987-04-01,1.19000
1987-05-01,1.18000
1987-06-01,1.20000
1987-07-01,1.19000
1987-08-01,1.13000
1987-09-01,1.13000
1987-10-01,1.10000
1987-11-01,1.22000
1987-12-01,1.18000
1988-01-01,1.19000
1988-02-01,1.22000
1988-03-01,1.18000
1988-04-01,1.23000
1988-05-01,1.14000
1988-06-01,1.14000
1988-07-01,1.15000
1988-08-01,1.10000
1988-09-01,1.08000
1988-10-01,0.90000
1988-11-01,1.03000
1988-12-01,1.08000
1989-01-01,1.03000
1989-02-01,0.97000
1989-03-01,0.87000
1989-04-01,0.82000
1989-05-01,0.89000
1989-06-01,0.93000
1989-07-01,0.94000
1989-08-01,0.92000
1989-09-01,0.90000
1989-10-01,0.89000
1989-11-01,0.92000
1989-12-01,0.96000
1990-01-01,0.95000
1990-02-01,0.92000
1990-03-01,0.84000
1990-04-01,0.84000
1990-05-01,0.94000
1990-06-01,0.96000
1990-07-01,0.96000
1990-08-01,1.00000
1990-09-01,1.08000
1990-10-01,1.21000
1990-11-01,1.32000
1990-12-01,1.38000
1991-01-01,1.41000
1991-02-01,1.24000
1991-03-01,1.16000
1991-04-01,1.08000
1991-05-01,1.00000
1991-06-01,0.95000
1991-07-01,0.89000
1991-08-01,0.90000
1991-09-01,0.90000
1991-10-01,0.94000
1991-11-01,0.97000
1991-12-01,0.95000
1992-01-01,0.93000
1992-02-01,0.94000
1992-03-01,0.90000
1992-04-01,0.88000
1992-05-01,0.85000
1992-06-01,0.83000
1992-07-01,0.77000
1992-08-01,0.70000
1992-09-01,0.70000
1992-10-01,0.85000
1992-11-01,0.86000
1992-12-01,0.83000
1993-01-01,0.76000
1993-02-01,0.68000
1993-03-01,0.57000
1993-04-01,0.68000
1993-05-01,0.78000
1993-06-01,0.74000
1993-07-01,0.76000
1993-08-01,0.75000
1993-09-01,0.68000
1993-10-01,0.64000
1993-11-01,0.73000
1993-12-01,0.76000
1994-01-01,0.73000
1994-02-01,0.68000
1994-03-01,0.65000
1994-04-01,0.64000
1994-05-01,0.63000
1994-06-01,0.68000
1994-07-01,0.69000
1994-08-01,0.67000
1994-09-01,0.64000
1994-10-01,0.63000
1994-11-01,0.64000
1994-12-01,0.64000
1995-01-01,0.62000
1995-02-01,0.59000
1995-03-01,0.58000
1995-04-01,0.57000
1995-05-01,0.55000
1995-06-01,0.60000
1995-07-01,0.63000
1995-08-01,0.62000
1995-09-01,0.61000
1995-10-01,0.63000
1995-11-01,0.66000
1995-12-01,0.67000
1996-01-01,0.66000
1996-02-01,0.64000
1996-03-01,0.68000
1996-04-01,0.69000
1996-05-01,0.68000
1996-06-01,0.69000
1996-07-01,0.70000
1996-08-01,0.72000
1996-09-01,0.69000
1996-10-01,0.68000
1996-11-01,0.69000
1996-12-01,0.69000
1997-01-01,0.67000
1997-02-01,0.63000
1997-03-01,0.63000
1997-04-01,0.61000
1997-05-01,0.62000
1997-06-01,0.61000
1997-07-01,0.61000
1997-08-01,0.60000
1997-09-01,0.55000
1997-10-01,0.57000
1997-11-01,0.55000
1997-12-01,0.56000
1998-01-01,0.58000
1998-02-01,0.58000
1998-03-01,0.60000
1998-04-01,0.64000
1998-05-01,0.61000
1998-06-01,0.60000
1998-07-01,0.60000
1998-08-01,0.62000
1998-09-01,0.69000
1998-10-01,0.81000
1998-11-01,0.93000
1998-12-01,1.01000
1999-01-01,1.05000
1999-02-01,0.99000
1999-03-01,0.91000
1999-04-01,0.84000
1999-05-01,0.79000
1999-06-01,0.79000
1999-07-01,0.76000
1999-08-01,0.75000
1999-09-01,0.81000
1999-10-01,0.83000
1999-11-01,0.79000
1999-12-01,0.64000
2000-01-01,0.55000
2000-02-01,0.61000
2000-03-01,0.69000
2000-04-01,0.76000
2000-05-01,0.91000
2000-06-01,0.81000
2000-07-01,0.70000
2000-08-01,0.71000
2000-09-01,0.73000
2000-10-01,0.79000
2000-11-01,0.83000
2000-12-01,0.81000
2001-01-01,0.78000
2001-02-01,0.77000
2001-03-01,0.86000
2001-04-01,0.87000
2001-05-01,0.78000
2001-06-01,0.79000
2001-07-01,0.84000
2001-08-01,0.83000
2001-09-01,0.86000
2001-10-01,0.88000
2001-11-01,0.84000
2001-12-01,1.28000
2002-01-01,1.32000
2002-02-01,1.38000
2002-03-01,1.30000
2002-04-01,1.27000
2002-05-01,1.34000
2002-06-01,1.32000
2002-07-01,1.37000
2002-08-01,1.21000
2002-09-01,1.25000
2002-10-01,1.41000
2002-11-01,1.31000
2002-12-01,1.24000
2003-01-01,1.18000
2003-02-01,1.11000
2003-03-01,1.06000
2003-04-01,1.11000
2003-05-01,1.16000
2003-06-01,1.22000
2003-07-01,1.13000
2003-08-01,1.13000
2003-09-01,1.07000
2003-10-01,1.03000
2003-11-01,1.01000
2003-12-01,0.98000
2004-01-01,0.90000
2004-02-01,0.77000
2004-03-01,0.78000
2004-04-01,0.73000
2004-05-01,0.71000
2004-06-01,0.77000
2004-07-01,0.80000
2004-08-01,0.81000
2004-09-01,0.81000
2004-10-01,0.74000
2004-11-01,0.68000
2004-12-01,0.68000
2005-01-01,0.66000
2005-02-01,0.62000
2005-03-01,0.66000
2005-04-01,0.72000
2005-05-01,0.86000
2005-06-01,0.90000
2005-07-01,0.89000
2005-08-01,0.87000
2005-09-01,0.90000
2005-10-01,0.95000
2005-11-01,0.97000
2005-12-01,0.95000
2006-01-01,0.95000
2006-02-01,0.92000
2006-03-01,0.88000
2006-04-01,0.84000
2006-05-01,0.80000
2006-06-01,0.89000
2006-07-01,0.91000
2006-08-01,0.91000
2006-09-01,0.92000
2006-10-01,0.91000
2006-11-01,0.87000
2006-12-01,0.90000
2007-01-01,0.94000
2007-02-01,0.89000
2007-03-01,0.97000
2007-04-01,0.92000
2007-05-01,0.92000
2007-06-01,0.91000
2007-07-01,0.92000
2007-08-01,0.86000
2007-09-01,0.85000
2007-10-01,0.82000
2007-11-01,0.96000
2007-12-01,1.16000
2008-01-01,1.21000
2008-02-01,1.29000
2008-03-01,1.38000
2008-04-01,1.42000
2008-05-01,1.36000
2008-06-01,1.39000
2008-07-01,1.49000
2008-08-01,1.51000
2008-09-01,1.66000
2008-10-01,2.60000
2008-11-01,3.09000
2008-12-01,3.38000
2009-01-01,3.09000
2009-02-01,2.81000
2009-03-01,2.92000
2009-04-01,3.00000
2009-05-01,2.52000
2009-06-01,1.89000
2009-07-01,1.68000
2009-08-01,1.32000
2009-09-01,1.18000
2009-10-01,1.14000
2009-11-01,1.13000
2009-12-01,1.11000
2010-01-01,0.99000
2010-02-01,0.99000
2010-03-01,1.00000
2010-04-01,0.96000
2010-05-01,1.09000
2010-06-01,1.35000
2010-07-01,1.29000
2010-08-01,1.17000
2010-09-01,1.13000
2010-10-01,1.04000
2010-11-01,1.05000
2010-12-01,1.08000
2011-01-01,1.05000
2011-02-01,0.93000
2011-03-01,0.90000
2011-04-01,0.86000
2011-05-01,0.82000
2011-06-01,0.76000
2011-07-01,0.83000
2011-08-01,0.99000
2011-09-01,1.18000
2011-10-01,1.39000
2011-11-01,1.27000
2011-12-01,1.32000
2012-01-01,1.38000
2012-02-01,1.29000
2012-03-01,1.24000
2012-04-01,1.23000
2012-05-01,1.27000
2012-06-01,1.38000
2012-07-01,1.47000
2012-08-01,1.43000
2012-09-01,1.35000
2012-10-01,1.11000
2012-11-01,1.01000
2012-12-01,0.98000